[[0, 1, 2], [0, 1, 3], [7, 8, 9], [3, 8, 9], [2, 4, 5], [4, 5, 7], [1, 2, 6], [2, 5, 6], [5, 7, 8], [5, 6, 8], [1, 3, 8], [1, 6, 8]]
[[0, 1, 2], [0, 1, 3], [7, 8, 9], [3, 8, 9], [2, 4, 5], [1, 2, 6], [2, 5, 6], [5, 6, 8], [1, 3, 8], [1, 6, 8], [4, 7, 8], [4, 5, 8]]
[[0, 1, 2], [0, 1, 3], [3, 8, 9], [2, 4, 5], [4, 5, 7], [1, 2, 6], [2, 5, 6], [5, 6, 8], [1, 3, 8], [1, 6, 8], [5, 8, 9], [5, 7, 9]]
[[0, 1, 2], [0, 1, 3], [7, 8, 9], [3, 8, 9], [1, 2, 5], [2, 4, 5], [4, 5, 7], [5, 7, 8], [5, 6, 8], [1, 3, 8], [1, 6, 8], [1, 5, 6]]
[[0, 1, 2], [0, 1, 3], [7, 8, 9], [2, 4, 5], [1, 2, 6], [2, 5, 6], [5, 6, 8], [1, 6, 8], [4, 7, 8], [4, 5, 8], [1, 8, 9], [1, 3, 9]]
[[0, 1, 2], [7, 8, 9], [3, 8, 9], [2, 4, 5], [1, 2, 6], [2, 5, 6], [5, 6, 8], [1, 6, 8], [4, 7, 8], [4, 5, 8], [0, 1, 8], [0, 3, 8]]
[[0, 1, 2], [0, 1, 3], [7, 8, 9], [3, 8, 9], [1, 2, 5], [2, 4, 5], [5, 6, 8], [1, 3, 8], [1, 6, 8], [1, 5, 6], [4, 7, 8], [4, 5, 8]]
[[0, 1, 2], [0, 1, 3], [2, 4, 5], [4, 5, 7], [1, 2, 6], [2, 5, 6], [5, 6, 8], [1, 6, 8], [5, 8, 9], [5, 7, 9], [1, 8, 9], [1, 3, 9]]
[[0, 1, 3], [7, 8, 9], [3, 8, 9], [0, 2, 5], [0, 1, 5], [2, 4, 5], [5, 6, 8], [1, 3, 8], [1, 6, 8], [1, 5, 6], [4, 7, 8], [4, 5, 8]]
[[0, 1, 2], [0, 1, 3], [7, 8, 9], [3, 8, 9], [5, 6, 8], [1, 3, 8], [1, 6, 8], [1, 5, 6], [4, 7, 8], [4, 5, 8], [1, 4, 5], [1, 2, 4]]
[[0, 1, 2], [7, 8, 9], [3, 8, 9], [1, 2, 5], [2, 4, 5], [5, 6, 8], [1, 6, 8], [1, 5, 6], [4, 7, 8], [4, 5, 8], [0, 1, 8], [0, 3, 8]]
[[7, 8, 9], [3, 8, 9], [0, 2, 5], [0, 1, 5], [2, 4, 5], [5, 6, 8], [1, 6, 8], [1, 5, 6], [4, 7, 8], [4, 5, 8], [0, 1, 8], [0, 3, 8]]
